ts_code,chairman,manager,secretary,reg_capital,setup_date,province,city
002780.SZ,张恒,张恒,秦亚敏,14536.8643,20010622,北京,北京市
002581.SZ,潘爱华,丁学国,张一诺,65973.5586,20000118,山东,淄博市
002988.SZ,董卫峰,董卫峰,刘光芒,23277,20040820,广东,清远市
002899.SZ,丁利荣,丁利荣,张瑞,12000,20040623,山东,青岛市
002801.SZ,何平,何平,胡雅琴,15308.8,20091125,浙江,杭州市
002606.SZ,应坚,应莹庭,李军,43863.422,20031125,辽宁,大连市
300443.SZ,伊廷雷,李新生,周丽,26175.3484,20060324,山东,济南市
300793.SZ,严文华,肖伟群,富欣伟,26668.8,20131017,广东,东莞市
300381.SZ,陈少美,陈少美,周德荣,49006.0069,19910903,广东,珠海市
300304.SZ,付红玲,蔡承儒,郑渲薇,86603.6018,20070427,江苏,徐州市
300935.SZ,陈岱林,任卫教,贺秋菊,5650.5,20101203,北京,北京市
002635.SZ,吕莉,吕莉,马玉燕,70138.5638,19991216,江苏,苏州市
002716.SZ,潘郴华,潘郴华,袁志勇,221047.9088,20041108,湖南,郴州市
300587.SZ,许吉锭,许孔斌,范薇薇,33855.4002,20031226,浙江,台州市
300350.SZ,张京豫,张京豫,程渝淇,47672.4433,20001115,广东,深圳市
300423.SZ,纪法清,柳云鹏,崔静,49842.419,20031211,山东,烟台市
300761.SZ,程立力,程立力,虞坚,40388,19970619,江苏,常州市
300210.SZ,孙斌武,孙斌武,王文铎,48421.9953,20041025,辽宁,鞍山市
002861.SZ,黄晖,黄晖,曾子路,12180.5266,20101023,湖北,咸宁市
002612.SZ,申东日,申今花,王建优,44244.5375,20061109,北京,北京市
002675.SZ,由守谊,忻红波,刘晓杰,80221.4326,19981231,山东,烟台市
002828.SZ,陈平贵,陈平贵,陈平贵,20098.76,20091126,新疆,克拉玛依市
002790.SZ,罗远良,张剑波,陈雪峰,41832.9,19990419,福建,厦门市
002971.SZ,杨涛,杨涛,李吉鹏,16000,20031120,湖北,宜昌市
300257.SZ,曹克坚,"TANG,YAN",杨建军,99363.5018,20020711,浙江,衢州市
300738.SZ,冯康,黄展鹏,何宇亮,21202.4808,20040928,广东,广州市
300532.SZ,邵健伟,张小麒,杨金平,27322.7008,20001019,广东,深圳市
300782.SZ,许志翰,许志翰,冯晨晖,18531.1544,20120810,江苏,无锡市
002788.SZ,吴金祥,吴金祥,叶泉青,38851.6736,20080903,福建,厦门市
002969.SZ,陈民,陈民,陈强,96033.3535,20110126,安徽,滁州市
300960.SZ,徐建英,闫永革,傅雄高,7678.5812,20001229,广东,深圳市
300466.SZ,黄小宁,厉冉,朱伟峰,53552.9908,19961202,江苏,徐州市
300259.SZ,费战波,常明松,杨冬玲,117565.7958,20001102,河南,郑州市
002664.SZ,尹巍,秦祥秋,陈世海,40386,19900714,浙江,台州市
300293.SZ,郭洪涛,郭洪涛,杜羽,27000,20040929,辽宁,沈阳市
002677.SZ,夏志生,夏志生,徐红,64605.1647,20011229,浙江,嘉兴市
002712.SZ,任丁,俞建华,李子木,58120.2488,20000809,浙江,杭州市
300454.SZ,何朝曦,何朝曦,蒋文光,41380.8338,20001225,广东,深圳市
300246.SZ,燕金元,燕金元,杨永兴,14608.8,19930628,广东,珠海市
300505.SZ,刘甍,魏家贵,宋晨,13068.3958,20050602,云南,昆明市
300322.SZ,朱坤华,温巧夫,黄刚,46574.6427,20040217,广东,惠州市
300877.SZ,曹松亭,曹松亭,孙涛,12000,20110721,安徽,滁州市
300850.SZ,肖争强,肖高强,曹柏根,10600,20050803,河南,洛阳市
300368.SZ,邢海平,郭俊凯,刘俊超,53194.3475,20050321,河北,石家庄市
002737.SZ,关玉秀,关一,田艳,58400,20050907,黑龙江,哈尔滨市
002689.SZ,康宝华,王延邦,谢刚,104331.0725,20010924,辽宁,沈阳市
002990.SZ,瞿磊,蒋冰,秦操,12624,19970116,广东,深圳市
002989.SZ,乔荣健,张安,毛爱军,15140,20000928,广东,深圳市
300876.SZ,郭清海,郭清海,朱少芬,9600,20130906,广东,揭阳市
002633.SZ,何建南,何建南,蔡靓燕,15000,19961205,浙江,绍兴市
300400.SZ,吴限,徐德勇,张娜,24262.58,20040727,广东,深圳市
002841.SZ,王毅然,王洋,程晓娜,66803.0956,20051228,广东,广州市
002621.SZ,刘俊君,李敏,石瑜,82666.2867,20030829,辽宁,大连市
300442.SZ,姜卫东,姜卫东,池国进,10000,20070627,上海,上海市
002862.SZ,蔡俊权,蔡俊权,肖家源,12000,19920904,广东,汕头市
002882.SZ,郑永汉,郑永汉,夏斓,43290,19960412,广东,深圳市
300449.SZ,王立群,王立群,李明,29825.8899,20041009,北京,北京市
300892.SZ,王牧,王牧,朱国辉,10000,19970909,上海,上海市
002593.SZ,吴子文,吴子文,吴小红,70111,19950801,福建,厦门市
002970.SZ,赵志坚,赵志坚,孙英,17280,20020903,广东,深圳市
300327.SZ,傅启明,宋永皓,潘一德,28285.4168,19940713,上海,上海市
002575.SZ,张金成,张金成,胡明珠,61872,19960902,广东,汕头市
300500.SZ,查金荣,查金荣,华亮,17448.0186,19880303,江苏,苏州市
300220.SZ,梁萍,梁萍,李丹,15120,20050311,湖北,武汉市
300767.SZ,李涛,李涛,龙云刚,14400,20100104,云南,昆明市
300596.SZ,李海平,孙春光,张春平,20501.042,20030808,天津,天津市
300733.SZ,魏晓林,魏晓林,杨浩,16000,19990930,四川,成都市
002648.SZ,杨卫东,杨卫东,沈晓炜,122860.5321,20050803,浙江,嘉兴市
300483.SZ,钱翔,钱翔,吴茌帏,14918.4287,20030108,上海,上海市
003035.SZ,秦华,陈庆前,韩庆敏,378787.8787,20101229,广东,广州市
300610.SZ,于子洲,于子洲,吴达明,15067.3,19950512,江苏,扬州市
002885.SZ,张立品,鞠万金,窦晓月,18000,19960625,广东,深圳市
002640.SZ,徐佳东,徐佳东,徐佳东,155804.133,20030307,山西,太原市
002724.SZ,杨志杰,杨志杰,陈艳,77982.9726,19950811,广东,深圳市
300283.SZ,陈晓,陈晓,严学文,43708.523,19970911,浙江,温州市
002708.SZ,李树华,吴朝阳,吴朝阳,48741.1076,19950422,江苏,常州市
002758.SZ,包中海,林昌斌,金鼎,48798.7374,19990816,浙江,绍兴市
002859.SZ,方隽云,方隽云,张君刚,41132.9479,20010409,浙江,湖州市
300228.SZ,黄锋,黄锋,李欣,47141.6592,20030805,江苏,苏州市
300432.SZ,藤明波,阳宇,,73903.2248,19971110,四川,绵阳市
