code2,名称,总市值
x300591,万里马,2090452800
x603289,泰瑞机器,2091712000
x300597,吉大通信,2092800000
x002742,三圣股份,2095200000
x002323,*ST雅博,2095500300
x600883,博闻科技,2096461400
x300505,川金诺,2098784400
x600423,ST柳化,2100567900
x300356,光一科技,2100708800
x002861,瀛通通讯,2103576900
x002103,广博股份,2105035400
x002265,西仪股份,2105722400
x002781,奇信股份,2106000000
x300210,森远股份,2106356800
x002306,ST云网,2108400000
x002098,浔兴股份,2108620000
x000619,海螺型材,2109600000
x600354,*ST敦种,2111208300
x002820,桂发祥,2111488000
x300141,和顺电气,2112319900
x600697,欧亚集团,2112689600
x002504,弘高创意,2113149100
x000606,顺利办,2113606200
x002113,*ST天润,2114765800
x688013,天臣医疗,2116000000
x688080,映翰通,2117074400
x300344,立方数科,2123371600
x002809,红墙股份,2124319700
x600573,惠泉啤酒,2125000000
x002159,三特索道,2125842900
x600857,宁波中百,2126552800
x603268,松发股份,2128253200
x300836,佰奥智能,2132280100
x002931,锋龙股份,2133120000
x002495,佳隆股份,2133226400
x603696,安记食品,2135616000
x002574,明牌珠宝,2138400000
x688159,有方科技,2142549800
x002278,神开股份,2143427800
x002885,京泉华,2143800000
x300049,福瑞股份,2143882800
x000554,泰山石油,2144338200
x000151,中成股份,2145855000
x002769,普路通,2146578800
x002910,庄园牧场,2152198300
x600630,龙头股份,2154048300
x603101,汇嘉时代,2154432000
x300371,汇中股份,2155684100
x003007,直真科技,2163200000
x002150,通润装备,2164058500
x603819,神力股份,2164238100
x600448,华纺股份,2166579600
x600830,香溢融通,2167119500
x603677,奇精机械,2167290700
x300269,联建光电,2175001100
x603701,德宏股份,2177721800
x300350,华鹏飞,2178630700
x300689,澄天伟业,2182800000
x300108,吉药控股,2184528100
x603022,新通联,2188000000
x600833,第一医药,2188477100
x600145,*ST新亿,2191917600
x603321,梅轮电梯,2191980000
x300139,晓程科技,2194740000
x002740,爱迪尔,2197655600
x603011,合锻智能,2203962600
x300278,华昌达,2204993900
x300707,威唐工业,2205157500
x688004,博汇科技,2207816000
x688129,东来技术,2214000000
x002575,*ST群兴,2215017600
x601798,蓝科高新,2215801200
x688551,科威尔,2219200000
x603717,天域生态,2219689500
x688310,迈得医疗,2221252000
x600712,南宁百货,2222193900
x688577,浙海德曼,2223634900
x603929,亚翔集成,2225344800
x000153,丰原药业,2225567000
x300491,通合科技,2226546800
x300279,和晶科技,2226752300
x002136,安 纳 达,2227607200
x002620,瑞和股份,2228139900
x300710,万隆光电,2228582700
x002134,天津普林,2229857400
x300813,泰林生物,2230032700
x603900,莱绅通灵,2230103700
x000721,西安饮食,2230780000
x002728,特一药业,2232590800
x002811,郑中设计,2233058400
x000023,深天地Ａ,2233975500
x600080,ST金花,2235889000
x300644,南京聚隆,2240000000
x603332,苏州龙杰,2240791900
x600540,新赛股份,2241595000
x603667,五洲新春,2245113000
x603059,倍加洁,2246000000
x000409,ST地矿,2248097100
x300281,金明精机,2249619600
x002094,青岛金王,2252326000
x300412,迦南科技,2253290100
x300106,西部牧业,2254915700
x300370,安控科技,2258865400
x603023,威帝股份,2259560800
x002514,宝馨科技,2260459800
x603903,中持股份,2261755900
x600543,莫高股份,2263896000
x300175,朗源股份,2264548000
x300135,宝利国际,2267136000
x603998,方盛制药,2267388900
x603117,万林物流,2267530800
x603843,正平股份,2268017000
x002133,广宇集团,2268242400
